Query,Market,Category,Priority
new toy launch,Sweden,Industry,Medium
new toy launch,Finland,Industry,Medium
new collectible launch,Sweden,Collectibles,High
new collectible launch,Finland,Collectibles,High
Build-A-Bear,Sweden,Plush,High
Fuggler,Sweden,Collectibles,High
Fuggler,Finland,Collectibles,High
Pokemon toys,Sweden,Trading Cards,High
Pokemon toys,Finland,Trading Cards,High
LEGO new release,Sweden,Construction,High
LEGO new release,Finland,Construction,High
MINISO collaboration,Sweden,Lifestyle,High
MINISO collaboration,Finland,Lifestyle,High
Labubu Pop Mart,Sweden,Collectibles,High
Labubu Pop Mart,Finland,Collectibles,High
Mattel new toy,Sweden,Industry,Medium
Hasbro new toy,Finland,Industry,Medium
MGA Entertainment launch,Sweden,Dolls,Medium
Sanrio collaboration,Finland,Licensed,Medium
Disney toy launch,Sweden,Licensed,Medium
